City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
191,Kipushi,CD,-11.7667,27.2333,64.85,94,36,2.95,light rain
192,Den Helder,NL,52.9599,4.7593,45.01,70,100,13.0,overcast clouds
193,Gurmatkal,IN,16.8667,77.4,88.5,22,47,5.73,scattered clouds
194,Puerto Madero,MX,14.7208,-92.4215,86.0,60,4,12.77,clear sky
195,Leningradskiy,RU,69.3833,178.4167,-23.24,100,99,3.09,overcast clouds
196,Ponta Do Sol,PT,32.6667,-17.1,61.0,84,100,13.31,overcast clouds
197,Sobolevo,RU,54.4299,31.8996,27.63,86,100,6.06,overcast clouds
198,Laguna,US,38.421,-121.4238,71.08,43,0,4.61,clear sky
199,Burgeo,CA,47.6167,-57.6152,35.08,87,72,24.92,broken clouds
200,Saint-Joseph,RE,-21.3667,55.6167,73.78,85,97,12.77,moderate rain
201,Natal,BR,-5.795,-35.2094,82.62,83,75,17.27,heavy intensity rain
202,Namibe,AO,-15.1961,12.1522,72.36,81,97,10.11,overcast clouds
203,Kutum,SD,14.2,24.6667,85.33,10,99,9.86,overcast clouds
204,Lagoa,PT,39.05,-27.9833,59.34,79,5,19.44,clear sky
205,Snezhnogorsk,RU,69.1933,33.2531,25.79,91,100,4.65,overcast clouds
206,Marawi,PH,7.9986,124.2928,67.95,96,99,1.07,overcast clouds
207,Pauini,BR,-7.7136,-66.9764,88.3,51,51,2.59,broken clouds
208,Beringovskiy,RU,63.05,179.3167,-9.83,94,76,13.82,broken clouds
209,Mangai,CD,-4.05,19.5333,79.07,70,79,2.89,broken clouds
210,Terrasini,IT,38.146,13.0844,55.47,58,0,3.44,clear sky
211,Coihaique,CL,-45.5752,-72.0662,49.95,62,75,4.61,light intensity shower rain
212,Srednekolymsk,RU,67.45,153.6833,-19.91,100,76,1.95,broken clouds
213,Kapit,MY,2.0167,112.9333,72.97,99,85,0.43,overcast clouds
214,Barrow,US,71.2906,-156.7887,-5.78,71,100,14.97,overcast clouds
215,Airai,TL,-8.9266,125.4092,57.56,81,72,1.54,broken clouds
216,Muros,ES,42.7762,-9.0603,57.09,47,24,18.99,few clouds
217,Tura,IN,25.5198,90.2201,71.92,89,7,8.1,clear sky
218,Murgab,TM,37.4966,61.9714,69.67,43,2,4.61,clear sky
219,Georgetown,MY,5.4112,100.3354,78.73,93,40,3.44,scattered clouds
220,Kruisfontein,ZA,-34.0033,24.7314,65.88,78,84,2.28,broken clouds
221,Clyde River,CA,70.4692,-68.5914,12.43,92,20,5.75,few clouds
222,Kiunga,PG,-6.1219,141.2906,72.72,95,91,1.57,overcast clouds
223,Raymond Terrace,AU,-32.75,151.75,64.0,88,100,6.91,overcast clouds
224,Pozoblanco,ES,38.3791,-4.8483,50.49,35,98,11.23,overcast clouds
225,Port Lincoln,AU,-34.7333,135.8667,60.26,82,22,3.42,few clouds
226,Turukhansk,RU,65.8167,87.9833,-2.61,100,21,3.11,few clouds
227,Okha,RU,53.5739,142.9478,32.68,87,100,10.51,overcast clouds
228,Kollam,IN,8.8833,76.6,80.4,81,37,3.04,scattered clouds
229,Groton,US,41.3501,-72.0784,52.47,79,100,9.22,overcast clouds
230,Vardo,NO,70.3705,31.1107,26.58,93,100,17.27,shower snow
231,Waterfoot,GB,53.6929,-2.2525,46.56,69,89,7.0,overcast clouds
232,Broken Hill,AU,-31.95,141.4333,58.71,63,0,4.61,clear sky
